obs_id,plot_id,obs,n,dist
1,UTB1,gray_part,1,50
2,UTC3,hens,1,15
3,UTC3,chicks,3,15
4,UTC4,males,9,92
5,UTC6,hens,1,32.5
6,UTC6,hens,1,71.5
7,UTC6,chicks,5,32.5
8,UTC6,chicks,7,71.5
9,UTC6,gray_part,30,67.5
10,UTC6,gray_part,15,4
11,UTB9,chicks,4,57.9
12,UTB9,chukar,20,126.9
13,UTB10,gray_part,9,83.2
14,UTC17,hens,2,5.2
15,UTC17,hens,2,4.7
16,UTC17,hens,7,50.7
17,UTC17,hens,4,12.3
18,UTC17,chicks,6,5.2
19,UTC17,chicks,5,4.7
20,IDC4,gray_part,8,50
21,IDB5,hens,4,24.9
22,IDB5,males,5,24.9
23,IDB5,males,2,117.8
24,IDB6,gray_part,6,15.8
25,IDC7,hens,6,37
26,IDC7,hens,20,24.8
27,IDC7,males,2,37
28,IDC7,males,9,24.8
29,IDC8,males,2,46.3
30,IDB9,hens,13,103.8
31,IDB11,hens,2,16.2
32,IDB11,chicks,6,16.2
33,IDB15,hens,1,77.5
34,IDB15,chicks,5,77.5
35,IDB15,gray_part,7,16.5
